module_order,module_notion_slug,module_notion_name,lesson_order,lesson_letter,lesson_name,evermind_idpage,bunny_video_id,notion_lesson_id
1,mindset,"Module 1 — Mindset",1,A,"Améliorer son mindset pour réussir",3907067,,
1,mindset,"Module 1 — Mindset",2,B,"Mettre en place les pré-requis financiers",3907068,,
1,mindset,"Module 1 — Mindset",3,C,"Comprendre les étapes d'un investissement",3907069,,
1,mindset,"Module 1 — Mindset",4,D,"Définir son projet en fonction de ses objectifs",3907070,,
2,types-location,"Module 2 — Types de location",1,A,"La colocation à très haut rendement",3907071,,
2,types-location,"Module 2 — Types de location",2,B,"L'immeuble de rapport comme outil multiplicateur",3907072,,
2,types-location,"Module 2 — Types de location",3,C,"Location courte durée pour booster sa renta",3907073,,
2,types-location,"Module 2 — Types de location",4,D,"Les locaux commerciaux et les parkings",3907074,,
2,types-location,"Module 2 — Types de location",5,E,"La division pour encaisser plus de loyers",3907075,,
2,types-location,"Module 2 — Types de location",6,F,"Utiliser l'achat-revente en résidence principale",3907076,,
2,types-location,"Module 2 — Types de location",7,G,"La sous-location professionnelle",4028090,,
3,recherches,"Module 3 — Recherches",1,A,"Définir son budget et son secteur de recherche",3907077,,
3,recherches,"Module 3 — Recherches",2,B,"Traquer les bonnes affaires immobilières",3907078,,
3,recherches,"Module 3 — Recherches",3,C,"Définir ses critères de recherche",3907079,,
3,recherches,"Module 3 — Recherches",4,D,"L'analyse de marché avec exemple",3907080,,
4,criteres-financiers,"Module 4 — Critères financiers",1,A,"Définir les principaux indicateurs financiers",3907081,,
4,criteres-financiers,"Module 4 — Critères financiers",2,B,"Établir un business plan rigoureux et structuré",3907082,,
4,criteres-financiers,"Module 4 — Critères financiers",3,C,"Valider ses critères de Go et No Go",3907083,,
5,analyse-technique,"Module 5 — Analyse technique",1,A,"Déroulé d'une visite immobilière et check-list",3907084,,
5,analyse-technique,"Module 5 — Analyse technique",2,B,"Exemple de visite sur le terrain",3907085,,
5,analyse-technique,"Module 5 — Analyse technique",3,C,"Utiliser les diagnostics immobiliers à son avantage",3907086,,
5,analyse-technique,"Module 5 — Analyse technique",4,D,"Les techniques puissantes pour négocier",3907087,,
5,analyse-technique,"Module 5 — Analyse technique",5,E,"Comprendre le notaire et les formalités foncières",3907088,,
6,financement,"Module 6 — Financement",1,A,"Les différents crédits bancaires",3907089,,
6,financement,"Module 6 — Financement",2,B,"Les caractéristiques d'un prêt immobilier",3907090,,
6,financement,"Module 6 — Financement",3,C,"Faire une demande de crédit comme un pro",3907091,,
6,financement,"Module 6 — Financement",4,D,"Améliorer son dossier et enchainer les crédits",3907092,,
6,financement,"Module 6 — Financement",5,E,"Le financement participatif Crowdfunding",4600028,,
7,travaux,"Module 7 — Travaux",1,A,"Choisir la bonne entreprise de rénovation",3907093,,
7,travaux,"Module 7 — Travaux",2,B,"Confronter les devis et diminuer son budget travaux",3907094,,
7,travaux,"Module 7 — Travaux",3,C,"Comprendre tous les travaux sans être artisan",3907095,,
7,travaux,"Module 7 — Travaux",4,D,"Exemple sur le terrain de suivi de chantier",3907096,,
7,travaux,"Module 7 — Travaux",5,E,"Le détail de chaque pièce d'un bien",3907097,,
7,travaux,"Module 7 — Travaux",6,F,"La réception du chantier et les garanties",3907098,,
7,travaux,"Module 7 — Travaux",7,G,"Maîtriser l'urbanisme et les déclarations associées",3907099,,
8,gestion-locative,"Module 8 — Gestion locative",1,A,"Publication de l'annonce idéale",3907100,,
8,gestion-locative,"Module 8 — Gestion locative",2,B,"Trouver un locataire de qualité pour son logement",3907101,,
8,gestion-locative,"Module 8 — Gestion locative",3,C,"Les baux et la gestion locative",3907102,,
8,gestion-locative,"Module 8 — Gestion locative",4,D,"Se protéger contre les impayés",3907103,,
8,gestion-locative,"Module 8 — Gestion locative",5,E,"Les assurances indispensables",4607998,,
8,gestion-locative,"Module 8 — Gestion locative",6,F,"Fonctionnement de la copropriété",4607999,,
9,imposition,"Module 9 — Imposition",1,A,"Les bases de l'imposition des particuliers",3907104,,
9,imposition,"Module 9 — Imposition",2,B,"L'imposition des revenus locatifs",3907105,,
9,imposition,"Module 9 — Imposition",3,C,"Les taxes et impositions locales",3907106,,
9,imposition,"Module 9 — Imposition",4,D,"Fiscalité du patrimoine",3907107,,
9,imposition,"Module 9 — Imposition",5,E,"Obligation déclarative pour les propriétaires",4028091,,
10,societe,"Module 10 — Société",1,A,"Les différentes sociétés immobilières",3907108,,
